330 54285
0 1 -4
0 2 -3
0 3 -2
0 4 -1
0 5 0
0 6 1
0 7 2
0 8 3
0 9 4
0 10 5
0 11 -5
0 12 -4
0 13 -3
0 14 -2
0 15 -1
0 16 0
0 17 1
0 18 2
0 19 3
0 20 4
0 21 5
0 22 -5
0 23 -4
0 24 -3
0 25 -2
0 26 -1
0 27 0
0 28 1
0 29 2
0 30 3
0 31 4
0 32 5
0 33 -5
0 34 -4
0 35 -3
0 36 -2
0 37 -1
0 38 0
0 39 1
0 40 2
0 41 3
0 42 4
0 43 5
0 44 -5
0 45 -4
0 46 -3
0 47 -2
0 48 -1
0 49 0
0 50 1
0 51 2
0 52 3
0 53 4
0 54 5
0 55 -5
0 56 -4
0 57 -3
0 58 -2
0 59 -1
0 60 0
0 61 1
0 62 2
0 63 3
0 64 4
0 65 5
0 66 -5
0 67 -4
0 68 -3
0 69 -2
0 70 -1
0 71 0
0 72 1
0 73 2
0 74 3
0 75 4
0 76 5
0 77 -5
0 78 -4
0 79 -3
0 80 -2
0 81 -1
0 82 0
0 83 1
0 84 2
0 85 3
0 86 4
0 87 5
0 88 -5
0 89 -4
0 90 -3
0 91 -2
0 92 -1
0 93 0
0 94 1
0 95 2
0 96 3
0 97 4
0 98 5
0 99 -5
0 100 -4
0 101 -3
0 102 -2
0 103 -1
0 104 0
0 105 1
0 106 2
0 107 3
0 108 4
0 109 5
0 110 -5
0 111 -4
0 112 -3
0 113 -2
0 114 -1
0 115 0
0 116 1
0 117 2
0 118 3
0 119 4
0 120 5
0 121 -5
0 122 -4
0 123 -3
0 124 -2
0 125 -1
0 126 0
0 127 1
0 128 2
0 129 3
0 130 4
0 131 5
0 132 -5
0 133 -4
0 134 -3
0 135 -2
0 136 -1
0 137 0
0 138 1
0 139 2
0 140 3
0 141 4
0 142 5
0 143 -5
0 144 -4
0 145 -3
0 146 -2
0 147 -1
0 148 0
0 149 1
0 150 2
0 151 3
0 152 4
0 153 5
0 154 -5
0 155 -4
0 156 -3
0 157 -2
0 158 -1
0 159 0
0 160 1
0 161 2
0 162 3
0 163 4
0 164 5
0 165 -5
0 166 -4
0 167 -3
0 168 -2
0 169 -1
0 170 0
0 171 1
0 172 2
0 173 3
0 174 4
0 175 5
0 176 -5
0 177 -4
0 178 -3
0 179 -2
0 180 -1
0 181 0
0 182 1
0 183 2
0 184 3
0 185 4
0 186 5
0 187 -5
0 188 -4
0 189 -3
0 190 -2
0 191 -1
0 192 0
0 193 1
0 194 2
0 195 3
0 196 4
0 197 5
0 198 -5
0 199 -4
0 200 -3
0 201 -2
0 202 -1
0 203 0
0 204 1
0 205 2
0 206 3
0 207 4
0 208 5
0 209 -5
0 210 -4
0 211 -3
0 212 -2
0 213 -1
0 214 0
0 215 1
0 216 2
0 217 3
0 218 4
0 219 5
0 220 -5
0 221 -4
0 222 -3
0 223 -2
0 224 -1
0 225 0
0 226 1
0 227 2
0 228 3
0 229 4
0 230 5
0 231 -5
0 232 -4
0 233 -3
0 234 -2
0 235 -1
0 236 0
0 237 1
0 238 2
0 239 3
