280 78120
0 1 15
0 2 12
0 3 9
0 4 6
0 5 3
0 6 17
0 7 14
0 8 11
0 9 8
0 10 5
0 11 2
0 12 16
0 13 13
0 14 10
0 15 7
0 16 4
0 17 1
0 18 15
0 19 12
0 20 9
0 21 6
0 22 3
0 23 17
0 24 14
0 25 11
0 26 8
0 27 5
0 28 2
0 29 16
0 30 13
0 31 10
0 32 7
0 33 4
0 34 1
0 35 15
0 36 12
0 37 9
0 38 6
0 39 3
0 40 17
0 41 14
0 42 11
0 43 8
0 44 5
0 45 2
0 46 16
0 47 13
0 48 10
0 49 7
0 50 4
0 51 1
0 52 15
0 53 12
0 54 9
0 55 6
0 56 3
0 57 17
0 58 14
0 59 11
0 60 8
0 61 5
0 62 2
0 63 16
0 64 13
0 65 10
0 66 7
0 67 4
0 68 1
0 69 15
0 70 12
0 71 9
0 72 6
0 73 3
0 74 17
0 75 14
0 76 11
0 77 8
0 78 5
0 79 2
0 80 16
0 81 13
0 82 10
0 83 7
0 84 4
0 85 1
0 86 15
0 87 12
0 88 9
0 89 6
0 90 3
0 91 17
0 92 14
0 93 11
0 94 8
0 95 5
0 96 2
0 97 16
0 98 13
0 99 10
0 100 7
0 101 4
0 102 1
0 103 15
0 104 12
0 105 9
0 106 6
0 107 3
0 108 17
0 109 14
0 110 11
0 111 8
0 112 5
0 113 2
0 114 16
0 115 13
0 116 10
0 117 7
0 118 4
0 119 1
0 120 15
0 121 12
0 122 9
0 123 6
0 124 3
0 125 17
0 126 14
0 127 11
0 128 8
0 129 5
0 130 2
0 131 16
0 132 13
0 133 10
0 134 7
0 135 4
0 136 1
0 137 15
0 138 12
0 139 9
0 140 6
0 141 3
0 142 17
0 143 14
0 144 11
0 145 8
0 146 5
0 147 2
0 148 16
0 149 13
0 150 10
0 151 7
0 152 4
0 153 1
0 154 15
0 155 12
0 156 9
0 157 6
0 158 3
0 159 17
0 160 14
0 161 11
0 162 8
0 163 5
0 164 2
0 165 16
0 166 13
0 167 10
0 168 7
0 169 4
0 170 1
0 171 15
0 172 12
0 173 9
0 174 6
0 175 3
0 176 17
0 177 14
0 178 11
0 179 8
0 180 5
0 181 2
0 182 16
0 183 13
0 184 10
0 185 7
0 186 4
0 187 1
0 188 15
0 189 12
0 190 9
0 191 6
0 192 3
0 193 17
0 194 14
0 195 11
0 196 8
0 197 5
0 198 2
0 199 16
0 200 13
0 201 10
0 202 7
0 203 4
0 204 1
0 205 15
0 206 12
0 207 9
0 208 6
0 209 3
0 210 17
0 211 14
0 212 11
0 213 8
0 214 5
0 215 2
0 216 16
0 217 13
0 218 10
0 219 7
0 220 4
0 221 1
0 222 15
0 223 12
0 224 9
0 225 6
0 226 3
0 227 17
0 228 14
0 229 11
0 230 8
0 231 5
0 232 2
0 233 16
0 234 13
0 235 10
0 236 7
0 237 4
0 238 1
0 239 15
0 240 12
0 241 9
0 242 6
0 243 3
0 244 17
0 245 14
0 246 11
0 247 8
0 248 5
0 249 2
0 250 16
0 251 13
0 252 10
0 253 7
0 254 4
0 255 1
0 256 15
0 257 12
0 258 9
0 259 6
0 260 3
0 261 17
0 262 14
0 263 11
0 264 8
0 265 5
0 266 2
0 267 16
0 268 13
0 269 10
0 270 7
0 271 4
0 272 1
0 273 15
0 274 12
0 275 9
0 276 6
0 277 3
0 278 17
0 279 14
1 0 1
1 2 12
1 3 9
1 4 6
1 5 3
1 6 17
1 7 14
1 8 11
1 9 8
1 10 5
1 11 2
1 12 16
1 13 13
1 14 10
1 15 7
1 16 4
1 17 1
1 18 15
1 19 12
1 20 9
1 21 6
1 22 3
1 23 17
1 24 14
1 25 11
1 26 8
1 27 5
1 28 2
1 29 16
1 30 13
1 31 10
1 32 7
1 33 4
1 34 1
1 35 15
1 36 12
1 37 9
1 38 6
1 39 3
1 40 17
1 41 14
1 42 11
1 43 8
1 44 5
1 45 2
1 46 16
1 47 13
1 48 10
1 49 7
1 50 4
1 51 1
1 52 15
1 53 12
1 54 9
1 55 6
1 56 3
1 57 17
1 58 14
1 59 11
1 60 8
1 61 5
1 62 2
1 63 16
1 64 13
1 65 10
1 66 7
1 67 4
1 68 1
1 69 15
1 70 12
1 71 9
1 72 6
1 73 3
1 74 17
1 75 14
1 76 11
1 77 8
1 78 5
1 79 2
1 80 16
1 81 13
1 82 10
1 83 7
1 84 4
1 85 1
1 86 15
1 87 12
1 88 9
1 89 6
1 90 3
1 91 17
1 92 14
1 93 11
1 94 8
1 95 5
1 96 2
1 97 16
1 98 13
1 99 10
1 100 7
1 101 4
1 102 1
1 103 15
1 104 12
1 105 9
1 106 6
1 107 3
1 108 17
1 109 14
1 110 11
1 111 8
1 112 5
1 113 2
1 114 16
1 115 13
1 116 10
1 117 7
1 118 4
1 119 1
1 120 15
1 121 12
1 122 9
1 123 6
1 124 3
1 125 17
1 126 14
1 127 11
1 128 8
1 129 5
1 130 2
1 131 16
1 132 13
1 133 10
1 134 7
1 135 4
1 136 1
1 137 15
1 138 12
1 139 9
1 140 6
1 141 3
1 142 17
1 143 14
1 144 11
1 145 8
1 146 5
1 147 2
1 148 16
1 149 13
1 150 10
1 151 7
1 152 4
1 153 1
1 154 15
1 155 12
1 156 9
1 157 6
1 158 3
1 159 17
1 160 14
1 161 11
1 162 8
1 163 5
1 164 2
1 165 16
1 166 13
1 167 10
1 168 7
1 169 4
1 170 1
1 171 15
1 172 12
1 173 9
1 174 6
1 175 3
1 176 17
1 177 14
1 178 11
1 179 8
1 180 5
1 181 2
1 182 16
1 183 13
1 184 10
1 185 7
1 186 4
1 187 1
1 188 15
1 189 12
1 190 9
1 191 6
1 192 3
1 193 17
1 194 14
1 195 11
1 196 8
1 197 5
1 198 2
1 199 16
1 200 13
1 201 10
1 202 7
1 203 4
1 204 1
1 205 15
1 206 12
1 207 9
1 208 6
1 209 3
1 210 17
1 211 14
1 212 11
1 213 8
1 214 5
1 215 2
1 216 16
1 217 13
1 218 10
1 219 7
1 220 4
1 221 1
1 222 15
1 223 12
1 224 9
1 225 6
1 226 3
1 227 17
1 228 14
1 229 11
1 230 8
1 231 5
1 232 2
1 233 16
1 234 13
1 235 10
1 236 7
1 237 4
1 238 1
1 239 15
1 240 12
1 241 9
1 242 6
1 243 3
1 244 17
1 245 14
1 246 11
1 247 8
1 248 5
1 249 2
1 250 16
1 251 13
1 252 10
1 253 7
1 254 4
1 255 1
1 256 15
1 257 12
1 258 9
1 259 6
1 260 3
1 261 17
1 262 14
1 263 11
1 264 8
1 265 5
1 266 2
1 267 16
1 268 13
1 269 10
1 270 7
