360 64620
0 1 9
0 2 8
0 3 7
0 4 6
0 5 5
0 6 4
0 7 3
0 8 2
0 9 1
0 10 9
0 11 8
0 12 7
0 13 6
0 14 5
0 15 4
0 16 3
0 17 2
0 18 1
0 19 9
0 20 8
0 21 7
0 22 6
0 23 5
0 24 4
0 25 3
0 26 2
0 27 1
0 28 9
0 29 8
0 30 7
0 31 6
0 32 5
0 33 4
0 34 3
0 35 2
0 36 1
0 37 9
0 38 8
0 39 7
0 40 6
0 41 5
0 42 4
0 43 3
0 44 2
0 45 1
0 46 9
0 47 8
0 48 7
0 49 6
0 50 5
0 51 4
0 52 3
0 53 2
0 54 1
0 55 9
0 56 8
0 57 7
0 58 6
0 59 5
0 60 4
0 61 3
0 62 2
0 63 1
0 64 9
0 65 8
0 66 7
0 67 6
0 68 5
0 69 4
0 70 3
0 71 2
0 72 1
0 73 9
0 74 8
0 75 7
0 76 6
0 77 5
0 78 4
0 79 3
0 80 2
0 81 1
0 82 9
0 83 8
0 84 7
0 85 6
0 86 5
0 87 4
0 88 3
0 89 2
0 90 1
0 91 9
0 92 8
0 93 7
0 94 6
0 95 5
0 96 4
0 97 3
0 98 2
0 99 1
0 100 9
0 101 8
0 102 7
0 103 6
0 104 5
0 105 4
0 106 3
0 107 2
0 108 1
0 109 9
0 110 8
0 111 7
0 112 6
0 113 5
0 114 4
0 115 3
0 116 2
0 117 1
0 118 9
0 119 8
0 120 7
0 121 6
0 122 5
0 123 4
0 124 3
0 125 2
0 126 1
0 127 9
0 128 8
0 129 7
0 130 6
0 131 5
0 132 4
0 133 3
0 134 2
0 135 1
0 136 9
0 137 8
0 138 7
0 139 6
0 140 5
0 141 4
0 142 3
0 143 2
0 144 1
0 145 9
0 146 8
0 147 7
0 148 6
0 149 5
0 150 4
0 151 3
0 152 2
0 153 1
0 154 9
0 155 8
0 156 7
0 157 6
0 158 5
0 159 4
0 160 3
0 161 2
0 162 1
0 163 9
0 164 8
0 165 7
0 166 6
0 167 5
0 168 4
0 169 3
0 170 2
0 171 1
0 172 9
0 173 8
0 174 7
0 175 6
0 176 5
0 177 4
0 178 3
0 179 2
0 180 1
0 181 9
0 182 8
0 183 7
0 184 6
0 185 5
0 186 4
0 187 3
0 188 2
0 189 1
0 190 9
0 191 8
0 192 7
0 193 6
0 194 5
0 195 4
0 196 3
0 197 2
0 198 1
0 199 9
0 200 8
0 201 7
0 202 6
0 203 5
0 204 4
0 205 3
0 206 2
0 207 1
0 208 9
0 209 8
0 210 7
0 211 6
0 212 5
0 213 4
0 214 3
0 215 2
0 216 1
0 217 9
0 218 8
0 219 7
0 220 6
0 221 5
0 222 4
0 223 3
0 224 2
0 225 1
0 226 9
0 227 8
0 228 7
0 229 6
0 230 5
0 231 4
0 232 3
0 233 2
0 234 1
0 235 9
0 236 8
0 237 7
0 238 6
0 239 5
0 240 4
0 241 3
0 242 2
0 243 1
0 244 9
0 245 8
0 246 7
0 247 6
0 248 5
0 249 4
0 250 3
0 251 2
0 252 1
